,video,cam,start,end,question,answer,a1,a2,a3,a4,a5,label
0,1,D,93,105,how many people am I talking with,two,zero,one,two,three,four,2
1,1,D,110,120,what is the man in white clothes doing,sit,get snack,write on whiteboard,sit down,sit,eat salad,3
2,1,D,142,160,what is the man in white clothes doing,drink,pass pillows,throw toy to another man,throw pillows,stand,drink,4
3,1,D,223,235,what are the two people doing,sit,walk to the desk,walk around,turn on computer,erase the whiteboard,sit,4
4,1,D,270,290,what am I doing,eat,erase whiteboard,eat,play phone,erase the whiteboard,pass book,1
5,1,D,518,534,what am I doing,drink,drink,look at phone,write on whiteboard,draw on whiteboard,turn on computer,0
6,1,D,649,659,what is the man in green shirt holding,laptop,pillows,machine,whiteboard,laptop,door,3
7,1,D,840,855,what is the man in white shirt holding,can,picture on the wall,door,monitor,can,desk,3
8,1,D,840,855,what is the man in white shirt doing,drink,open box,get snack,shake hands,throw toy to another man,drink,4
9,1,D,840,855,what is the object placed in front of the man in white shirt,laptop,shelf,door,laptop,can,book,2
10,1,D,883,899,what is the man in white clothes doing,stand,open box,close the door,walk around,eat,stand,4
11,1,D,925,932,what am I doing,drink,pass book,walk around,throw toy to another man,get can,drink,4
12,1,D,925,932,what am I holding,bottle,print machine,bottle,bike,tv,camera,1
13,1,D,185,232,how many people are in the room,two,zero,one,two,three,four,2
14,1,D,638,696,what is the man in green shirt handling,laptop,laptop,phone,machine,monitor,door,0
15,1,D,882,934,what is the man in white shirt doing,walk around,get a box from shelf,sit,throw toy,walk around,walk to the desk,3
16,1,D,1548,1641,what am I doing,mix salad,erase the whiteboard,read book,close bottle,mix salad,walk,3
17,1,D,1836,1865,what am I doing,mix salad,walk to the desk,put laptop on desk,shake hands,type on keyboard,mix salad,4
18,1,M,140,152,what am I holding,can,white pillows,book,phone,can,pillows,3
19,1,M,140,152,what am I doing,drink,walk,drink,use phone,open snack,look at phone,1
20,1,M,187,194,what is the object placed beside the man in green shirt,laptop,pen,computer,white pillows,laptop,cup,3
21,1,M,187,194,what is the object placed behind the man in green shirt,bike,camera,whiteboard,picture on the wall,book,bike,4
22,1,M,290,310,what is the man in front of me doing,eat salad,type on laptop,eat salad,use phone,type on keyboard,draw on whiteboard,1
23,1,M,290,310,what am I holding,can,machine,cup,can,black pillows,desk,2
24,1,M,522,536,what is the man in front of me doing,drink,walk to the door,open snack,type on keyboard,open bottle,drink,4
25,1,M,522,536,what is the man in front of me holding,bottle,toy,bottle,tv,monitor,pillows,1
26,1,M,522,536,what is the man in green shirt holding,bottle,apple,tv,book,bottle,pen,3
27,1,M,56,96,what am I doing,walk around,draw on whiteboard,have snack,walk around,pass book,type on laptop,2
28,1,M,297,323,what is the man in front of me doing,eat salad,type on computer,eat salad,turn on computer,shake hands,play phone,1
29,1,M,836,862,what is the man in front of me doing,eat salad,open snack,open bottle,erase the whiteboard,eat salad,mix salad,3
30,1,M,894,920,what am I doing,walk around,stand up,close the door,get can on desk,sit down,walk around,4
31,1,M,924,950,what is the man in front of me doing,drink,read book,drink,walk to the door,point on whiteboard,open can,1
32,1,M,924,950,what is the color of the bottle hold by the man in front of me,red,brown,black,blue,gray,red,4
33,1,M,1085,1161,what is the man in front of me doing,eat salad,open snack,eat salad,pass pillows,look at phone,sit down,1
34,1,M,1354,1406,what am I doing,type on laptop,open can,mix salad,type on laptop,get snack,point on whiteboard,2
35,1,M,2630,2660,what is the man in front of me doing,mix salad,type on laptop,type on keyboard,write on whiteboard,walk to the desk,mix salad,4
36,1,M,2653,2683,who is eating salad,the man in green shirt,a man in blue shirt,the man on my right side,the man in blue clothes,the man in green shirt,the man in black jacket,3
37,2,F,113,155,how many people are in the room,one,zero,one,two,three,four,1
38,2,F,196,202,how many people are in the room,two,zero,one,two,three,four,2
39,2,F,196,202,how many people am I talking with,two,zero,one,two,three,four,2
40,2,F,204,207,what is the man at my left side doing,drink,use phone,type on laptop,point to a camera,close bottle,drink,4
41,2,F,204,207,what is the man in front of me holding,bottle,snack bar,snack,bottle,monitor and computer,picture on the wall,2
42,2,F,210,215,what am I doing,sit,close bottle,sit,walk around,walk,get a box from shelf,1
43,2,F,211,216,what is the object placed in front of me on the desk,can,monitor and computer,can,apple,shelf,laptop,1
44,2,F,227,231,what am I holding,can,bottle,pen,snack,computer,can,4
45,2,F,204,207,what is the man in front of me holding,bottle,pillows,picture on the wall,print machine,white pillows,bottle,4
46,2,F,261,268,what is the man in front of me doing,drink,walk,drink,type on keyboard,open snack bag,get snack,1
47,2,F,261,268,what am I doing,drink,drink,throw toy,point on whiteboard,get snack,walk,0
48,2,F,289,300,what is the man at my left side doing,drink,get snack,get can,throw toy,get a box from shelf,drink,4
49,2,F,497,503,what is the man in front of me holding,box,snack,desk,apple,can,box,4
50,2,F,502,507,what is the man in front of me doing,open box,open box,stand,pass book,read book,get can,0
51,2,F,597,606,what is the man in front of me holding,box,pillows,monitor,picture,whiteboard,box,4
52,2,F,954,964,what am I doing,open snack,get snack,walk around,drink,eat snack,open snack,4
53,2,F,992,1008,what am I doing,open snack,open snack,sit,walk to the desk,shake hands,look at the whiteboard,0
54,2,F,992,1008,what am I holding,snack,laptop,snack,shelf,bike,phone,1
55,2,F,992,1008,what am I holding in hand,snack,monitor and computer,book,picture,whiteboard,snack,4
56,2,F,1116,1122,what am I doing with the man in black jacket,shake hands,write on whiteboard,draw,look at phone,drink,shake hands,4
57,2,F,1116,1122,What is the man in black jacket doing with me,shake hands,the man in blue shirt,shelf,get a box from shelf,shake hands,the door on my right side,3
58,2,F,1116,1122,What is the man in front of me doing with me,shake hands,shake hands,sit,point to a camera,monitor,open box,0
59,2,F,1116,1122,what is the object placed on left side of the man in black jacket,bottle,monitor and computer,computer,bike,bottle,can,3
60,2,F,1447,1459,what am I doing,eat snack,pass book,walk to the door,pass pillows,erase whiteboard,eat snack,4
61,2,F,1493,1498,how many can or bottle are on the desk,three,zero,one,two,three,four,3
